iter	Logloss
0	0.6382950585
1	0.6052764101
2	0.5808677042
3	0.5618830872
4	0.5476888889
5	0.5384273789
6	0.5299347249
7	0.5252372597
8	0.5202170539
9	0.5154681596
10	0.5106126623
11	0.5083238424
12	0.5060893303
13	0.5044790929
14	0.5026722684
15	0.5013233475
16	0.5000667414
17	0.4986924169
18	0.4975167076
19	0.4965063672
20	0.4956467617
21	0.4947946697
22	0.4937616563
23	0.4929926095
24	0.4923356246
25	0.4916645662
26	0.490930425
27	0.4903160959
28	0.4893009072
29	0.4888635086
30	0.4882382742
31	0.4878036873
32	0.487425109
33	0.4869135804
34	0.4863348886
35	0.485941511
36	0.4854118796
37	0.4848724099
38	0.4844384413
39	0.4841510697
40	0.4837047237
41	0.4832840446
42	0.4829402697
43	0.4823119442
44	0.4819424178
45	0.4815189684
46	0.4811425965
47	0.4807702758
48	0.4804291701
49	0.4801723381
50	0.4798563359
51	0.4795341803
52	0.479254362
53	0.478941477
54	0.4786538165
55	0.4782770908
56	0.4780634069
57	0.4777278818
58	0.4774987393
59	0.4772347799
60	0.4770903525
61	0.4767370776
62	0.4764271209
63	0.4761162932
64	0.4758072653
65	0.4755691066
66	0.4753131993
67	0.4750905924
68	0.4748819161
69	0.4746718683
70	0.4745121561
71	0.4742646756
72	0.473998286
73	0.4736622148
74	0.4735035424
75	0.4732832625
76	0.4730991521
77	0.4729275239
78	0.4727178731
79	0.4724965871
80	0.472170063
81	0.471987372
82	0.4718260491
83	0.4716390571
84	0.4714829985
85	0.4712881267
86	0.4710221385
87	0.4707642006
88	0.4705961756
89	0.4703663072
90	0.4701727155
91	0.4700238827
92	0.4698385195
93	0.4696130818
94	0.4694389953
95	0.4690975875
96	0.4689987196
97	0.4688381761
98	0.468646011
99	0.4685101384
100	0.4683168741
101	0.4681722214
102	0.4680251309
103	0.4677910093
104	0.4675851035
105	0.4673830556
106	0.4672247629
107	0.4671157617
108	0.4669447201
109	0.4667811522
110	0.4666077146
111	0.4664562881
112	0.4662131378
113	0.4661021303
114	0.4659324202
115	0.4657779088
116	0.4656801815
117	0.4654630037
118	0.4653289478
119	0.4651478185
120	0.4649735802
121	0.4647651864
122	0.4646019702
123	0.464462575
124	0.4643265873
125	0.4641538339
126	0.4639652454
127	0.4638128107
128	0.4635471002
129	0.463375311
130	0.4632508284
131	0.4630347118
132	0.4628794565
133	0.4627480625
134	0.4626019064
135	0.4624532515
136	0.4622803623
137	0.4621186186
138	0.4619968617
139	0.4618353859
140	0.4617059939
141	0.4616135088
142	0.4615192082
143	0.4613627013
144	0.4612205326
145	0.4611122653
146	0.4608850998
147	0.4607699547
148	0.460566927
149	0.4604495655
150	0.4603211597
151	0.4601893351
152	0.4600724143
153	0.4598655648
154	0.4596728857
155	0.4595615472
156	0.4594322587
157	0.4593210456
158	0.4591208001
159	0.4589746365
160	0.4588358106
161	0.4586999067
162	0.4585931234
163	0.4584776397
164	0.4583409842
165	0.4581919404
166	0.4580572645
167	0.4579110327
168	0.4577511615
169	0.4576450404
170	0.4575227222
171	0.457436369
172	0.4573049968
173	0.4571688252
174	0.4570559062
175	0.4569486523
176	0.456815582
177	0.4567310364
178	0.4565953873
179	0.4563928521
180	0.4563111575
181	0.4562221732
182	0.4561041232
183	0.4559965143
184	0.4559078719
185	0.4557761985
186	0.4556619867
187	0.4555334012
188	0.4554069599
189	0.4552851961
190	0.4551733022
191	0.4550535117
192	0.4549180308
193	0.4547910622
194	0.4546602093
195	0.4545653435
196	0.4544061294
197	0.4542991321
198	0.4542264537
199	0.4540243431
200	0.4539357155
201	0.4538668982
202	0.4537194955
203	0.4536002091
204	0.4535305396
205	0.4534395581
206	0.4533223201
207	0.4532339501
208	0.4531246481
209	0.4530418442
210	0.4528985799
211	0.4528087555
212	0.4527221795
213	0.452647866
214	0.4525648019
215	0.4524807609
216	0.4523704952
217	0.4523264169
218	0.4522574663
219	0.4521693281
220	0.4520616829
221	0.4519221399
222	0.4518452058
223	0.4517741857
224	0.4516928937
225	0.4515105382
226	0.4514016424
227	0.4513146675
228	0.4512526065
229	0.4511441636
230	0.4510488155
231	0.4509007164
232	0.4508208873
233	0.4507762315
234	0.4506664234
235	0.4505573325
236	0.4504771694
237	0.450409464
238	0.4502980302
239	0.4501984809
240	0.4500957939
241	0.4499686297
242	0.4498775429
243	0.4497839234
244	0.4496155283
245	0.4495359643
246	0.4494643061
247	0.4493219799
248	0.4492234846
249	0.449123657
250	0.4490495779
251	0.4489742549
252	0.4488679692
253	0.4487239319
254	0.4485916577
255	0.448511309
256	0.4484328944
257	0.4483313355
258	0.4482331013
259	0.448159034
260	0.4480560966
261	0.4479909033
262	0.4479236307
263	0.4478308066
264	0.4476987648
265	0.4476446936
266	0.4475736184
267	0.4475300763
268	0.4474665601
269	0.4473925283
270	0.4473046214
271	0.447236286
272	0.4471787573
273	0.4470474855
274	0.4469886485
275	0.446926544
276	0.44685422
277	0.4467787073
278	0.4467040413
279	0.4466251312
280	0.4465091886
281	0.4464159373
282	0.4463330319
283	0.4462506293
284	0.446165517
285	0.4460897929
286	0.4459936377
287	0.4459277063
288	0.445843956
289	0.4457979377
290	0.445735741
291	0.4456278252
292	0.4455672921
293	0.4455039778
294	0.4454306537
295	0.4453806924
296	0.4452961649
297	0.4452223023
298	0.4451549502
299	0.4450800323
300	0.4450044665
301	0.4449029721
302	0.4448295975
303	0.4447479061
304	0.4447031788
305	0.4445911913
306	0.4445365581
307	0.4444657048
308	0.4443950589
309	0.4443255964
310	0.4442558871
311	0.4441843365
312	0.4441169965
313	0.4440302167
314	0.4439777842
315	0.4438607291
316	0.4437936361
317	0.443742459
318	0.4436553037
319	0.4436003544
320	0.4435457132
321	0.4435280338
322	0.4434516772
323	0.4433973973
324	0.4433486245
325	0.4432751392
326	0.4431975465
327	0.4431248315
328	0.4430566386
329	0.4430135734
330	0.442942334
331	0.4428863648
332	0.4428097617
333	0.4426923336
334	0.4426059628
335	0.4425395832
336	0.4423917501
337	0.4423359818
338	0.4422767619
339	0.4422149276
340	0.4421511809
341	0.4420857837
342	0.4420311974
343	0.4419880852
344	0.4419351403
345	0.4418688274
346	0.4418279373
347	0.4417535677
348	0.4416761675
349	0.4416021578
350	0.4415363348
351	0.4414845298
352	0.4414155116
353	0.4413655388
354	0.4412978274
355	0.4412371877
356	0.441146596
357	0.4411065555
358	0.4410503203
359	0.4409978052
360	0.4409479219
361	0.4408913959
362	0.4408701305
363	0.4408144694
364	0.4407722157
365	0.4407172876
366	0.440671494
367	0.4405847641
368	0.4405190062
369	0.4404666038
370	0.4403933321
371	0.4403288702
372	0.4402753313
373	0.4401881626
374	0.4401236182
375	0.4400604355
376	0.4400060361
377	0.4399827682
378	0.4399369584
379	0.4398877876
380	0.439824563
381	0.4397562559
382	0.4396877842
383	0.4396262735
384	0.439544773
385	0.4394945219
386	0.4394310678
387	0.4393696378
388	0.4393131259
389	0.4392620964
390	0.4392023697
391	0.4391449255
392	0.4391127089
393	0.4390635402
394	0.438977501
395	0.4389074335
396	0.4388281608
397	0.4387520274
398	0.4387165685
399	0.4386704921
400	0.4386300256
401	0.43856304
402	0.438519037
403	0.438444193
404	0.4383774987
405	0.438318142
406	0.4382818967
407	0.4382168322
408	0.4381701077
409	0.4380835561
410	0.4380241297
411	0.4379758424
412	0.4379084538
413	0.4378477991
414	0.4377907394
415	0.4376930249
416	0.4376405502
417	0.4375793608
418	0.4375372749
419	0.4374885231
420	0.4374245297
421	0.4373486812
422	0.4372939351
423	0.4372433179
424	0.4371920242
425	0.437141172
426	0.4370735252
427	0.43700403
428	0.43694491
429	0.436878537
430	0.4368130806
431	0.4367866586
432	0.4367014498
433	0.4366512223
434	0.4365919468
435	0.4365310648
436	0.4364739164
437	0.4364125875
438	0.4363533614
439	0.4363013691
440	0.4362295872
441	0.4361768277
442	0.4361253774
443	0.4360913028
444	0.4359916275
445	0.4359150864
446	0.4358563392
447	0.4357866375
448	0.4357259315
449	0.435679062
450	0.4356118167
451	0.4355470632
452	0.4354672168
453	0.4354187253
454	0.4353859309
455	0.4353354265
456	0.4352806271
457	0.4352337147
458	0.4351826113
459	0.4351307883
460	0.4350808577
461	0.4350107689
462	0.4349591495
463	0.4349178698
464	0.4348750149
465	0.4348243354
466	0.4348095722
467	0.4347345653
468	0.4346778267
469	0.4346339111
470	0.4345863862
471	0.4345313448
472	0.4344778856
473	0.4344327912
474	0.4343738947
475	0.4343204437
476	0.4342672154
477	0.434215626
478	0.4341775999
479	0.4341082315
480	0.4340271399
481	0.4339772134
482	0.4339206074
483	0.4338702098
484	0.4338211168
485	0.4337660279
486	0.4337182712
487	0.4336647716
488	0.4336035354
489	0.4335492598
490	0.433484555
491	0.4334437452
492	0.4333966943
493	0.43335231
494	0.4332863016
495	0.4332461253
496	0.4331839695
497	0.4331473593
498	0.4330975408
499	0.4330312015
500	0.4329789408
501	0.4329215239
502	0.4328779367
503	0.4328143727
504	0.4327689651
505	0.4327167063
506	0.4326669327
507	0.4326345022
508	0.4325759497
509	0.4325119464
510	0.4324571463
511	0.4324094808
512	0.4323625467
513	0.4322991958
514	0.4322400083
515	0.4321917365
516	0.4321320194
517	0.4320802355
518	0.4319863486
519	0.4319203892
520	0.4318581193
521	0.4318211346
522	0.4317560495
523	0.4317197538
524	0.4316612682
525	0.431623656
526	0.4315764877
527	0.431517716
528	0.4314921729
529	0.4314432522
530	0.4313882809
531	0.4313774203
532	0.4313176349
533	0.4312249858
534	0.4311600127
535	0.431115298
536	0.431062285
537	0.4309847221
538	0.430936484
539	0.4308855841
540	0.430836807
541	0.4307920617
542	0.4307230123
543	0.4306692579
544	0.4306336848
545	0.4305868493
546	0.4305349733
547	0.430503797
548	0.4304696217
549	0.4304029232
550	0.4303499605
551	0.4302650673
552	0.4302269463
553	0.4301818788
554	0.4301185708
555	0.4301074969
556	0.4300574544
557	0.4300162553
558	0.4299559443
559	0.4299017897
560	0.4298644202
561	0.4298177189
562	0.4297595411
563	0.4297208503
564	0.4296800101
565	0.4296261527
566	0.4295734693
567	0.4295219194
568	0.4294727724
569	0.4294272497
570	0.4293645253
571	0.4293341352
572	0.4292871376
573	0.4292370476
574	0.4291848844
575	0.4291436996
576	0.4290806716
577	0.4290495271
578	0.4290184758
579	0.4289564731
580	0.428917119
581	0.428891583
582	0.4288352289
583	0.4288050344
584	0.4287623188
585	0.4286667589
586	0.4286369759
587	0.428581297
588	0.4285255662
589	0.4284744249
590	0.4284398067
591	0.428390135
592	0.4283490611
593	0.4282896638
594	0.4282564488
595	0.4282187744
596	0.4281725456
597	0.4281434234
598	0.4280745585
599	0.4280096375
600	0.4279791
601	0.4279121626
602	0.4278662842
603	0.4278191237
604	0.4277788466
605	0.4277380802
606	0.4276901889
607	0.4276290911
608	0.427568721
609	0.4275225076
610	0.4274660823
611	0.4274273925
612	0.4273902067
613	0.4273448832
614	0.4273016528
615	0.4272452093
616	0.4272000828
617	0.4271414201
618	0.4270860739
619	0.4270392453
620	0.4269633108
621	0.4269355586
622	0.4269009405
623	0.4268580108
624	0.4268000367
625	0.4267401723
626	0.4266904459
627	0.4266563424
628	0.4266247101
629	0.4265877542
630	0.4265310411
631	0.4264916547
632	0.4264681029
633	0.4264381165
634	0.4264007371
635	0.4263694285
636	0.4263227572
637	0.4262800833
638	0.4262321777
639	0.4261813275
640	0.4261331875
641	0.4260888553
642	0.4260627307
643	0.4260251537
644	0.4259923418
645	0.4259339553
646	0.4258840222
647	0.4258407659
648	0.4257989154
649	0.4257359397
650	0.4256880659
651	0.4256383213
652	0.4255879584
653	0.4255596821
654	0.4255039191
655	0.4254512798
656	0.4254102615
657	0.4253834733
658	0.4253118627
659	0.4252627239
660	0.4252156798
661	0.42518538
662	0.4251363766
663	0.4250879013
664	0.4250372805
665	0.4249971149
666	0.4249530108
667	0.4249104477
668	0.4248732544
669	0.4248246274
670	0.4247807744
671	0.4247505337
672	0.42472375
673	0.4246724843
674	0.4246218719
675	0.4245529657
676	0.4245071533
677	0.4244728452
678	0.4244424444
679	0.4244026253
680	0.424358514
681	0.4243039156
682	0.4242575393
683	0.4242078182
684	0.4241793933
685	0.4241192611
686	0.4240733837
687	0.424012881
688	0.4239479043
689	0.4239080273
690	0.4238761091
691	0.4238346965
692	0.4237875603
693	0.4237436931
694	0.4237073389
695	0.4236707622
696	0.4236205531
697	0.4235735368
698	0.423532242
699	0.4234762326
700	0.4234187461
701	0.4233629517
702	0.423312676
703	0.4232680707
704	0.4232219989
705	0.4231987041
706	0.4231360546
707	0.4230932344
708	0.4230605557
709	0.4230073764
710	0.4229516739
711	0.4229044087
712	0.4228674168
713	0.4228103069
714	0.4227533686
715	0.4227205078
716	0.4226800217
717	0.4226413129
718	0.4226150914
719	0.4225969659
720	0.4225275381
721	0.4224734614
722	0.4224351329
723	0.4223942832
724	0.4223499566
725	0.4223062043
726	0.4222687663
727	0.4222297869
728	0.4221822466
729	0.4221223777
730	0.4220909115
731	0.4220472331
732	0.4219947777
733	0.4219568357
734	0.4219230444
735	0.4218917806
736	0.4218338459
737	0.4217971882
738	0.421763227
739	0.4217288345
740	0.4216981357
741	0.4216415798
