iter	Passed	Remaining
0	102	102005
1	201	100337
2	301	100136
3	402	100201
4	500	99567
5	595	98595
6	700	99410
7	800	99313
8	903	99479
9	997	98703
10	1093	98343
11	1185	97594
12	1277	96962
13	1378	97052
14	1470	96579
15	1563	96173
16	1656	95803
17	1756	95830
18	1855	95782
19	1958	95949
20	2050	95604
21	2147	95450
22	2240	95159
23	2337	95071
24	2437	95073
25	2532	94872
26	2634	94924
27	2736	95006
28	2841	95144
29	2936	94959
30	3033	94807
31	3126	94577
32	3225	94528
33	3326	94509
34	3425	94455
35	3518	94210
36	3614	94087
37	3712	93979
38	3813	93966
39	3906	93751
40	4001	93602
41	4107	93692
42	4202	93521
43	4303	93511
44	4406	93509
45	4499	93305
46	4599	93258
47	4700	93230
48	4802	93200
49	4900	93105
50	4996	92965
51	5093	92849
52	5190	92741
53	5286	92618
54	5386	92550
55	5479	92374
56	5577	92270
57	5680	92262
58	5790	92348
59	5891	92305
60	5993	92255
61	6089	92124
62	6194	92134
63	6288	91975
64	6383	91819
65	6485	91777
66	6583	91673
67	6682	91586
68	6782	91517
69	6883	91451
70	6985	91404
71	7087	91348
72	7180	91183
73	7276	91051
74	7372	90925
75	7482	90969
76	7571	90753
77	7671	90675
78	7772	90615
79	7869	90502
80	7956	90268
81	8052	90147
82	8146	90007
83	8246	89931
84	8345	89839
85	8439	89695
86	8539	89614
87	8638	89529
88	8731	89371
89	8822	89208
90	8922	89124
91	9015	88978
92	9095	88707
93	9189	88572
94	9279	88403
95	9371	88243
96	9457	88039
97	9559	87988
98	9659	87911
99	9759	87835
100	9852	87695
101	9949	87590
102	10045	87484
103	10139	87358
104	10238	87270
105	10325	87088
106	10425	87010
107	10522	86906
108	10628	86876
109	10729	86807
110	10825	86703
111	10918	86568
112	11011	86434
113	11100	86273
114	11190	86116
115	11290	86037
116	11381	85894
117	11475	85776
118	11568	85647
119	11668	85570
120	11766	85475
121	11849	85280
122	11943	85160
123	12036	85030
124	12124	84871
125	12223	84790
126	12310	84620
127	12407	84527
128	12502	84413
129	12600	84325
130	12702	84262
131	12799	84166
132	12896	84067
133	12982	83899
134	13073	83765
135	13168	83657
136	13263	83552
137	13359	83447
138	13456	83353
139	13556	83274
140	13650	83159
141	13747	83065
142	13844	82970
143	13941	82873
144	14043	82807
145	14140	82714
146	14234	82596
147	14326	82473
148	14420	82361
149	14515	82253
150	14609	82143
151	14705	82039
152	14792	81889
153	14880	81748
154	14970	81615
155	15068	81522
156	15162	81413
157	15255	81298
158	15337	81126
159	15436	81039
160	15532	80940
161	15632	80862
162	15730	80775
163	15827	80679
164	15918	80558
165	16000	80389
166	16098	80299
167	16185	80158
168	16275	80028
169	16367	79914
170	16465	79823
171	16569	79765
172	16665	79668
173	16778	79650
174	16893	79639
175	16990	79544
176	17078	79410
177	17180	79337
178	17270	79214
179	17362	79097
180	17453	78974
181	17543	78849
182	17640	78755
183	17744	78695
184	17837	78580
185	17932	78477
186	18011	78308
187	18102	78187
188	18191	78061
189	18287	77964
190	18385	77872
191	18477	77759
192	18571	77652
193	18667	77557
194	18768	77478
195	18858	77358
196	18950	77246
197	19041	77128
198	19133	77013
199	19224	76897
200	19316	76785
201	19408	76674
202	19497	76548
203	19593	76454
204	19689	76357
205	19781	76245
206	19875	76140
207	19968	76034
208	20066	75946
209	20158	75836
210	20253	75735
211	20338	75598
212	20438	75517
213	20536	75428
214	20630	75326
215	20720	75209
216	20815	75107
217	20906	74994
218	20995	74876
219	21097	74799
220	21184	74672
221	21277	74567
222	21371	74463
223	21466	74364
224	21562	74270
225	21655	74166
226	21745	74051
227	21842	73957
228	21936	73854
229	22025	73738
230	22102	73580
231	22196	73477
232	22285	73360
233	22377	73252
234	22470	73147
235	22567	73057
236	22671	72988
237	22770	72905
238	22871	72823
239	22957	72698
240	23050	72594
241	23142	72486
242	23232	72374
243	23329	72282
244	23427	72196
245	23518	72085
246	23622	72013
247	23713	71906
248	23803	71791
249	23897	71692
250	23994	71600
251	24092	71512
252	24185	71408
253	24281	71315
254	24380	71230
255	24480	71145
256	24581	71067
257	24678	70974
258	24762	70845
259	24867	70776
260	24966	70689
261	25069	70615
262	25161	70510
263	25254	70407
264	25355	70324
265	25449	70224
266	25552	70150
267	25646	70049
268	25741	69951
269	25839	69861
270	25940	69781
271	26042	69701
272	26132	69592
273	26231	69503
274	26327	69408
275	26423	69312
276	26523	69228
277	26619	69135
278	26714	69036
279	26809	68939
280	26910	68855
281	27007	68764
282	27107	68677
283	27207	68593
284	27295	68477
285	27385	68369
286	27488	68290
287	27585	68198
288	27691	68126
289	27787	68030
290	27891	67955
291	27990	67868
292	28088	67776
293	28185	67684
294	28279	67582
295	28369	67472
296	28473	67396
297	28576	67318
298	28672	67221
299	28768	67125
300	28861	67023
301	28957	66927
302	29055	66837
303	29154	66747
304	29252	66656
305	29350	66565
306	29449	66477
307	29550	66391
308	29644	66291
309	29744	66205
310	29842	66113
311	29940	66021
312	30035	65925
313	30128	65821
314	30223	65724
315	30321	65631
316	30416	65534
317	30511	65435
318	30613	65353
319	30715	65271
320	30808	65167
321	30900	65064
322	30980	64933
323	31074	64835
324	31171	64740
325	31270	64650
326	31367	64558
327	31465	64466
328	31571	64390
329	31658	64276
330	31760	64193
331	31857	64098
332	31950	63997
333	32040	63888
334	32138	63797
335	32234	63702
336	32327	63600
337	32420	63497
338	32520	63409
339	32620	63322
340	32717	63228
341	32816	63138
342	32912	63043
343	33009	62948
344	33105	62851
345	33208	62770
346	33316	62696
347	33414	62605
348	33521	62527
349	33618	62435
350	33722	62352
351	33818	62256
352	33920	62171
353	34015	62073
354	34107	61970
355	34204	61875
356	34302	61783
357	34397	61685
358	34494	61589
359	34592	61498
360	34688	61401
361	34778	61295
362	34871	61193
363	34970	61101
364	35067	61008
365	35167	60918
366	35261	60819
367	35359	60725
368	35460	60638
369	35552	60535
370	35652	60446
371	35747	60348
372	35838	60243
373	35939	60155
374	36037	60062
375	36143	59982
376	36236	59882
377	36329	59780
378	36427	59687
379	36524	59592
380	36623	59500
381	36720	59406
382	36815	59309
383	36913	59216
384	37007	59115
385	37103	59019
386	37197	58919
387	37294	58824
388	37389	58727
389	37484	58628
390	37579	58532
391	37673	58432
392	37767	58332
393	37866	58241
394	37967	58152
395	38070	58066
396	38166	57970
397	38260	57871
398	38352	57768
399	38450	57675
